rank,members,name,url,category,city,description
16,49072,Обувь  женские Садовод 27-60,https://vk.com/shopsadovodwow,"Одежда, обувь",Москва,"🎯 Широкий ассортимент женской обуви на любой сезон и случай.   🎯Продажа ОПТОМ и в РОЗНИЦУ. От одной пары для себя — до крупного заказа для вашего магазина.   🎯Быстрая доставка по всей России: СДЭК, Почта России, Boxberry и др.   Подписывайтесь, чтобы быть в курсе новых поступлений и акций!  💬 Чтобы "
17,49030,Логопедические игры Михайловой Е.В.,https://vk.com/logopedicheskie_igry,Образование,,Давайте учить детей играя! Информация по лицензии в Роскомнадзоре:  https://knd.gov.ru/license?id=6734933a342af512e769a383&registryType=bloggersPermission
18,48998,Одежда Dobermans Aggressive и Thor Steinar,https://vk.com/styleaggressive,"Одежда, обувь",,"Мужская и Женская одежда польского бренда DOBERMANS AGGRESSIVE и немецких брендов Thor Steinar и Ansgar Aryan . Доставка по России и Миру. Вопросы по заказам - СЮДА https://vk.com/id143291383    DOBERMANS AGGRESSIVE - Это довольно молодой, но очень успешный бренд из Европы. Производит повседневную о"
19,48997,УХА-ТВ Рыбалка в Чувашии (UHA-TV),https://vk.com/uhatv,Рыбалка,Чебоксары,"Сообщество рыболовов объединенных общим увлечением. Уха-Тв - это увлекательные и интересные отчёты о рыбалке, занимательное общение, обсуждение интересующих вопросов.  Место расположения Чебоксары.  Уникальная ссылка для автоматического перехода пользователя социальной сети к поисковой форме, размещ"
20,48987,SOFUTO Детская одежда,https://vk.com/sofuto2000,Детская одежда и обувь,,Детская одежда для путешествий по жизни ✂️Собственное производство 🛒 Наличие и цены sofuto.ru ✈️ Доставка по России 🌸 Бесплатная доставка от 10 тыс ₽
21,48980,Soda Shop,https://vk.com/sodastores,"Одежда, обувь",Минск,"№1 хайп магазин в Беларуси - Доставка по Беларуси наложенным платежом за счёт получателя  - Весь товар в наличии  Наши магазины: - Минск ТЦ Немига 3,этаж 0,павильон 2 - Могилев, ул. Ленинская 49 (отдельный вход с улицы)  Худи Свитшоты Носки Рюкзаки Штаны Джоггеры Куртки Ветровки Джинсовки Кольца Очк"
22,48954,Вязание. Knitting_in_trendd,https://vk.com/knitting_in_trendd,Творчество,Саранск,🥰Самое большое сообщество с бесплатными описаниями и полезными видео!
23,48896,Авторазбор ПРОдетали24,https://vk.com/prodetali24,Автотовары,,"Мы предлагаем широкий выбор оригинальных новых и подержанных запчастей для популярных марок автомобилей: Renault, Nissan, Kia, Hyundai, Geely и Lifan.  Наш склад насчитывает более 200’000 тысяч позиций, включая:  ✔️ Детали кузова: двери, капоты, крышки багажников, крылья, задние четверти. ✔️ Оптика "
24,48880,Гарри Шоп | Книги Гарри Поттер Росмэн,https://vk.com/magicsstore,Закрытое сообщество,,"Магазин по тематике Гарри Поттер. Книги, атрибутика, мерч. Более 5 лет радуем поттероманов товарами. Отзывов 1360+"
25,48788,Татьяна Барковская. Обучение зефиру.,https://vk.com/zefir.hand.made,Образование,Санкт-Петербург,"Жмите на 👉 https://vk.cc/cTbb3T 👈🏻 и забирайте 🎁Гайд ""Всё о зефире"" 🧚🏻Умею превращать сложные рецепты в простые шаги !  ПОДПИСЫВАЙТЕСЬ 🫶🏻 и я открою Вам путь в волшебный кондитерский мир.  Меня зовут Татьяна Барковская я основатель онлайн школы по зефирному мастерству и кондитерскому искусству.  В с"
26,48778,Obuv Land ''Штучно'' 30- 65,https://vk.com/roznicnayaobuv3050,"Стиль, одежда, обувь",,Здравствуйте дорогие Клиенты 😊 Предоставляем вашему вниманию нашу группу по розничной продажи обуви. Мы будем здесь выкладывать обувь ШТУЧНО ‼️ Будем вам рады 😊 Наше Место  ТЯК Садовод - 30-65
27,48776,Косметика Беларусь Kylie.by,https://vk.com/kylie_by,"Парфюмерия, косметика",Барановичи,"💋 Профессиональная косметика, кисти для макияжа, аксессуары по САМЫМ доступным ценам!  Вся наша косметика сертифицирована, она полностью отвечает всем санитарным требованиям. ✅ Качество продукции подтверждено сертификатами!  ✅ Приятные цены! ✅ Скидки, акции и розыгрыши! ✅ Широчайший ассортимент  Дос"
28,48730,"МОХИРА | Обзоры, которые экономят вам время",https://vk.com/mohira_shop,"Стиль, одежда, обувь",,"№ 7261612989 🌸 Привет! Я — Махира 👋   Помогаю вам находить лучшие товары для дома, семьи и уюта — без переплат и лишних усилий!  📦 Распаковываю, тестирую, честно рассказываю — что работает, а что нет.   💸 Экономлю ваше время и деньги — потому что знаю, как это важно! 115687d8-95e9-4  🌟 Почему именно"
29,48716,"""МЕБТАУН"" сеть мебельных салонов",https://vk.com/mebtown,Мебель,Кудымкар,"Доступные цены, широкий ассортимент и высокое качество  В салонах ""МЕБТАУН"" вы можете купить корпусную и мягкую мебель для обустройства спальни, гостиной, детской или офисного помещения. Также на нашем сайте большой выбор кухонных гарнитуров, шкафов, зеркал и прихожих. Ждём Вас в наших магазинах по "
30,48696,Профессиональная косметика Гельтек,https://vk.com/geltekcosmetics,"Парфюмерия, косметика",Москва,"Основные направления производства «Гельтека» — профессиональная и натуральная косметика, а также любые гелевые текстуры. Мы производим товары для использования в домашнем уходе за кожей, профессиональной косметологии и эстетической медицине. Каталог косметики: https://geltek.ru/catalog/  Мы разработ"
31,48667,Украшения с кристаллами Сваровски,https://vk.com/shop_swarovski.brand,"Украшения, бижутерия ",Санкт-Петербург,"РКН 7050455977 Мы - магазин украшений c кристаллами Swarovski (Сваровски) ⚡️ -10% скидка при покупке от 2-х украшений ⚡️Работаем более 9 лет, отзывы https://vk.com/feedback_app?mid=-77814441&ref=group_menu  Наш телеграмм https://t.me/shop_swarovski_brand  Подпишись на Max https://max.ru/join/1HCQ-UR"
32,48663,Lamp Garage | Мужская одежда,https://vk.com/lampgarage,"Стиль, одежда, обувь",,"Ламповый стиль в одежде, обуви и аксессуарах ⚡  На Lamp Garage вы можете заказать повседневную стильную одежду, обувь и мотоциклетную атрибутику.  Мы обеспечиваем и гарантируем только высокое качество продукции.  Наша цель - удовлетворить потребности тех, кто ищет свой собственный стиль. Наш опыт - "
33,48642,ДЕТСКАЯ ОДЕЖДА 24-31,https://vk.com/alisher_style,"Стиль, одежда, обувь",Москва,Всем здравствуйте 👋  Заказ только я принимаю и всё ‼️‼️‼️ У нас не кого помощник или помощница!  Только я сам работаю и все  Заказ только в личку и в ватсап можно скинуть  😇  👉 Заказать: https://vk.com/alisher_style Телефон для связи: +7 966 022-11-42
34,48476,Максюна | Ткани и трикотаж,https://vk.com/maksuna_ekb,Товары для творчества,Екатеринбург,"№4925433916 номер заявления в Роскомнадзор  Самый большой ассортимент трикотажа в Екатеринбурге! Новинки каждую неделю.  Все самое интересное в нашем телеграм-канале  https://t.me/maksuna_ekb  Магазин на 100 кв.м. находится в г. Екатеринбург, ул. проспект Космонавтов 31А, ТЦ Меркурий (2 этаж).  Вы м"
35,48470,Суши-Бро | Суши • Роллы | Ижевск,https://vk.com/sushi_bro,Доставка еды,Ижевск,"👉[https://vk.com/app5898182_-120669112#u=1904118&s=3135282&force=1|Дарим подарки к первому заказу] 👈  У нас вы можете заказать вкусные суши и роллы, которые приготовлены из самых свежих ингредиентов.  Нас объединяет любовь к нашему делу и к нашему городу. Поэтому мы готовим только самое вкусное для "
36,48414,КОТОМАМА | Украшения с отпечатком носов питомцев,https://vk.com/kot.o.mama,Ювелирные изделия,Москва,"РКН заявка 7217820560   Украшения с отпечатком носиков питомцев!   💎 Изготавливаем кулоны, браслеты, кольца, брелоки, серьги из серебра.  100% ручная работа! На украшения наносим любую гравировку, можем сделать надпись вашим почерком, чтобы добавить изделию уникальности.  🐾 Предоставляем выгодную ра"
37,48410,Жако роллы и пицца Самара | Доставка,https://vk.com/jacofood_smr,Доставка еды,Самара,"Привет, мы — Жако!  Готовим роллы и пиццу, доставляем сами. У нас большие порции и низкие цены.  У нас заказывают на праздники и когда хотят побаловать себя вкусненьким.  Выбираем ингредиенты без ГМО, ЗМЖ, антибиотиков. Готовим много и только под заказ, поэтому продукты всегда свежие.  Регулярно про"
38,48409,Подарки впечатления Море Эмоций,https://vk.com/moremotionsru,Торгово-развлекательный центр,,"Магазин подарков-впечатлений для себя и близких ✨  Подарки на любой вкус — всё в одном месте: экстремальные приключения, релакс и СПА-программы, мастер-классы, арт-терапии и не только!  ✅ 1500+ впечатлений в каталоге ✅ Быстрое и удобное оформление в пару кликов ✅ Лёгкий обмен, если впечатление не по"
39,48270,Cozy Home,https://vk.com/cozyhomerus,Товары для дома,Москва,"Cozy Home – ваш уютный дом🤍  Сеть магазинов уютных и стильных товаров для тех, кто любит свой дом."
40,48238,Самостоятельная Диагностика Авто,https://vk.com/diagnost7,Автомобили,Владимир,"Компьютерная диагностика автомобилей в домашних условиях. Самостоятельная диагностика автомобиля. Самостоятельная автодиагностика. Ремонт автомобилей своими руками. Адаптеры, автосканеры для диагностики автомобилей разных марок. Инструкции по компьютерной диагностике."
41,48155,ВЕЛОСИПЕДЫ•САМОКАТЫ•ЗАПЧАСТИ | АКТИВНЫЙ СЕЗОН,https://vk.com/active_season_official,Велосипеды,Киров,"Госуслуги: № 5059981728 Киров, ул.Маклина,77/3  Велосипеды , самокаты, питбайки, квадроциклы, тюбинги, снегокаты, санки, лыжи, электромобили, коньки, ролики, бассейны, коляски, купить в нашем магазине с гарантией. --------------- ▪️ Работаем на российском рынке с 2012 г.  ▪️ Являемся производителем "
42,48125,Унисон - создаем уют в каждом доме,https://vk.com/unison_lifestyle,Товары для дома,,∞ унисон - бесконечное совершенство стиля ∞ домашний текстиль для современных интерьеров ∞ собственное производство
43,48070,Мастенариум | Mastenarium,https://vk.com/mastenarium,"Украшения, бижутерия ",Москва,"Мастенариум приветствует всех любителей компьютерных игр, кино и литературы. Наша команда вручную создает уникальные ювелирные изделия по мотивам популярных произведений. Ассортимент коллекций регулярно пополняется.   Наши изделия обладают высокой детализацией и широкой вариативностью. Мы используем"
44,47883,Вязание ажурных шалей спицами.,https://vk.com/club_knitting_shawls,Творчество,Ижевск,Тема моей группы - вязание спицами.
45,47866,Кантата,https://vk.com/cantata,"Продукты питания, напитки",Москва,"Кантата – это чай и кофе со всего света, десерты ручной работы и подарки.   Искренняя забота о каждом госте и его комфорте в мире чая и кофе – вот то, что движет нашей компанией все 25 лет ее существования ❤️  Мы в Telegram: t.me/cantata_ru На наш сайт: https://www.cantata.ru/"
46,47798,"Бумажная лоза , плетение обучение Олеся Васылив",https://vk.com/plety_s_olesey,Творчество,Евпатория,"Привет. Я Олеся  И здесь всё про плетение из бумажной лозы       Научу плести красивые и практичные изделия для интерьера     🧺 мастер-классы на самые интересные и востребованные изделия     Подробная информация об обучении в разделе ""Услуги"".     пишите в сообщения https://vk.com/vasiliv_olesya    "
47,47791,Зан-Зан,https://vk.com/zanzanshop,"Продукты питания, напитки",Нижний Новгород,"Мы магазин сладостей и подарков Зан-Зан  Что такое  Зан-Зан?   -  Сладости из Азии, сладости из Америки, сладости из Европы и другие вкусняшки - Подарки, открытки, посуда, аксессуары и многое другое!  Сайт💥 https://zanzanshop.ru/?utm_source=vk&utm_medium=social-media&utm_campaign=head  Ozon💥 ozon.ru"
48,47789,LONGA VITA,https://vk.com/longavita_official,Стоматология,,Номер заявления о регистрации в Роскомнадзоре - №5154598566  Longa Vita — это натуральные и безопасные  средства по уходу за полостью рта для детей и взрослых.  Каждый продукт нацелен на эффективное решение определенных вопросов по уходу за полостью рта и гарантирует видимый результат в домашних усл
49,47774,Мебель 51 Мурманск,https://vk.com/meb51ru,Мебель,Мурманск,"Мебель 51 Мурманск.  Наш интернет-магазин более 5 лет занимаемся продажей и доставкой недорогой и отличной мебели от производителя в Мурманске и Мурманской области.   На сайте представлен каталог мебели, где можно посмотреть кухню, недорогой шкаф или детскую, купить современную спальню, прихожую или"
50,47687,БВРЛИ | Вышивка на одежде,https://vk.com/bvrlyy,"Одежда, обувь",Казань,"Создаем одежду с вышивкой по любой вашей идее, которая греет не только тело, но и душу 🧣  ✿ Бесплатно дорабатываем макет вышивки  ✿ Более 600+ настоящих положительных отзывов во всех соцсетях  ✿ Собственное производство одежды по нашим лекалам  ✿ Доставка по всей России  ✿ Работа по договору  ♡ Подх"
51,47666,"Мастерская ЛЁН. Платья, топы, юбки изо льна",https://vk.com/linendress.store,Пошив и ремонт одежды,Омск,Конструктор льняных изделий Ручная набойка принта и вышивка 🌿🌻🍁 📋Выберте цвет/принт/фасон ✂️Шьем по вашим меркам 🙆Лариса Все вопросы в сообщения группы
52,47641,"Интернет магазин,подарки,ножи.",https://vk.com/club41557329,Охота и рыбалка,DELETED,"Добро пожаловать в нашу группу! Представляем Вашему вниманию! Ножи ручной работы(Из кованной и прокатанной стали,на Ваш выбор). Ножи комплектуются кожаными чехлами(ножнами) с художественными тиснением. Есть возможность исполнения рисунков,инициалов на клинке по Вашим эскизам. А так же изготовление н"
53,47614,Натуральная кожа в Санкт-Петербурге,https://vk.com/kozhaspb,Супермаркет,Санкт-Петербург,"КОКО (кожа и комплектующие) – магазин натуральной кожи, химии и фурнитуры в САНКТ-ПЕТЕРБУРГЕ.    • Работаем от своего сырья (т.е. размещаем сырье на российских и белорусских заводах и производим свои артикулы кожи, полностью контролируя все технические процессы).  • Доставку осуществляем по ВСЕЙ РОС"
54,47528,Самоделкин - Идеи для дома и дачи!,https://vk.com/kreativnyy_dom_dacha,"Строительство, ремонт",Москва,"Самоделкин - Идеи для дома и дачи! У нас очень активная группа подпишитесь и следите за обновлениями.  Самоделкин - Идеи для дома и дачи! *В разделе ""Статьи"" вы найдёте для себя много тем.  *Самоделкин - Идеи для дома и дачи! Ждём ваши работы в   ""Сообщении группы"" и мы с радостью их  опубликуем!  С"
55,47496,ОХОТНИЧЬИ РУЖЬЯ БУ,https://vk.com/bu_guns,Охота и рыбалка,,"Кто зашёл с VPN или не из России, тот может видеть группу. Группа заблокирована на территории России, по не понятным причинам! Объяснений нет УВЫ. Стена этой группы закрыта, Вы можете размещать объявления в другой нашей группе: vk.com/bu_gun Спасибо за поддержку."
56,47454,Molotov Store,https://vk.com/storemolotov,Часы,Москва,Работаем с 2011 года  При покупке двух товаров третий в подарок 1+1=3
57,47437,Фабрика мебели «38 Попугаев»,https://vk.com/mebel38popugaev,Мебель,Ижевск,Истории счастливого детства!  Мы производим стильную мебель для детей.   - Доставка по России - Бесплатный макет комнаты - Личный менеджер - Ежемесячные акции и скидки - Мебель по Вашим размерам  Ресурс включён в перечень Роскомнадзора https://gosuslugi.ru/snet/67a307f71b17b35b6c005aa0
58,47348,"Кератин, ботокс, нанопластика",https://vk.com/keratinstyle24ru,Салон красоты,Красноярск,"№ 5034848815  ✅ 16 ЛЕТ НА РЫНКЕ СОСТАВОВ ДЛЯ ВОЛОС  Наш адрес  г. Красноярск, ул. Карла маркса 95, к1, оф 418 Мы работаем с 13 до 19 Воскресенье всегда выходной день. Звоните  8 913 189 95 70  Все товары в наличии - https://vk.com/market-91748875  Заказать легко: • пишите в сообщения группы vk.me/ke"
59,47348,Логопедические игры,https://vk.com/club190609339,Образование,Иваново,Группа предназначена для логопедов и заботливых родителей. Заявления о регистрации в Роскомнадзоре №4959766054  https://knd.gov.ru/license?id=678a3db38e552d6b54cedb05&registryType=bloggersPermission
60,47326,VosidBrand | Садовод Женская одежда К Б 2Г-45,https://vk.com/club176529722,"Одежда, обувь",Москва,"Мы находимся на рынке ""Садовод"",  Корпус Б 2Г45  2. Как оформить заказ❓ Отправьте в личные сообщения фото вещей с размерами или альбом ➡Мы уточняем по наличию и считаем сумму заказа➡Вы оплачиваете➡Мы отправляем🚗💨  Так же заказ можно отправить на  ✓️ WHATSAPP    +7(9261670744  3. Чьё производство❓ Мы"
61,47294,ZTE Россия,https://vk.com/zterussia,Оператор мобильной связи,Москва,"Добро пожаловать на официальную страницу ZTE Россия!  Здесь вы одними из первых узнаете о наших новинках, получите необходимую информацию (сервис и поддержку) по текущим моделям! Помимо этого, вас ждут интересные конкурсы и викторины с розыгрышами телефонов, уникальные предложения, а также новости, "
62,47292,Premium Shop | Садовод Корпус А 2В 14,https://vk.com/premium_land,"Стиль, одежда, обувь",Москва,"Поставщик премиальных вещей и аксессуаров!  🔸 Отправляем от 1 шт  🔸 Через посредников и самовывоз так же от 1 штуки, без примерки 🔸 Бронь от 1 единицы товара по 100% предоплате 🔸 Мы находимся: г.Москва, ТК Садовод  Корпус A Линия в 14 2 этаж   Перед заказом ознакомьтесь с нашими условиями https://vk"
63,47215,SIROJ SHOP | Мужская одежда | Садовод ст6-35а,https://vk.com/club198704873,"Одежда, обувь",,Добро пожаловать в наш магазин 👑 Наш магазин находится в УТК Садовод. Место ст6-35а в конце линии 16 Наши условия: 🔹 Минимальная сумма брони можно 1 штук От 1 штук можно заказать   🔹 Отправляем: Все ТК и Автобусы каждый день ( вы должны дать данные автобуса ) 🚛📦 и Почтой РФ  🛍Самовывозом: от 1 штук 
64,47147,ВЯЗАНИЕ — ПЕРЕВОДЫ ОПИСАНИЙ СПИЦАМИ И КРЮЧКОМ,https://vk.com/hand_made__blog,Творчество,,Любишь вязать🧶 - давай дружить 🤝. В нашей группе  вы можете приобрести👇перевод описания на #кардиганы #свитера #носки #шали #бактусы #пуловеры
65,47073,KROMAX. ENDEVER,https://vk.com/kromaxgroupcompanies,Бытовая техника,Москва,"Техника для уютного дома, создай уют с техникой ENDEVER!  РНК № 6133285456"
66,47058,Garage.Izh | Кроссовки и спортивная одежда,https://vk.com/garageizh,"Одежда, обувь",Ижевск,"Хочешь выглядеть стильно и дорого? 😏 » Всего лишь надо купить мужскую и женскую одежду и обувь в магазине Гараж || Ижевск и Воткинск!  📦 Доставка по всей России  Выбирая нас, ты получаешь:  • ТОПовые НОВИНКИ • ВЫГОДНЫЕ цены • отличное КАЧЕСТВО 🎁 Подарок к каждому заказу!  Стильные люди — наша ответс"
67,47014,"LinoRusso - одежда изо льна, шьём в РФ и Италии",https://vk.com/eco_wear,"Стиль, одежда, обувь",Москва,"Модная дизайнерская женская и мужская одежда из натуральных тканей. Производство в России и Италии, безупречная репутация более 15 лет!  Размерный ряд от 42 до 60  Бесплатная доставка по России  Возможность примерки Гарантия качества от производителя/ обмен и возврат товара Оплата при получении Шоур"
68,46987,FARRUH (Обувь оптом ),https://vk.com/club147261683,Закрытое сообщество,Москва,ОБУВЬ Только Оптом 🤗 Место ТЦ САЛЮТ 3/ТЦ1-13               FARRUH Тел +7 (926)682-59-77
69,46966,Фестивали России,https://vk.com/festivali_rossii,Интернет-СМИ,Москва,"Рег. РКН № 5061689550  Сообщество Фестивали в России 2026 года - Главный по фестивалям.  Фестивали в России 2026 года — это яркое и многообразное явление, отражающее богатство культурного наследия страны и современные тенденции в искусстве. Ежегодно в разных уголках России проходят десятки фестивале"
70,46958,Учебный центр косметологии «Аравия»,https://vk.com/academy_aravia,Обучающие курсы,Москва,"Учебный центр «Аравия» – это:  ✔ одна из лучших школ шугаринга в России и СНГ; ✔ авторские учебные программы по направлениям: шугаринг, уход за кожей лица и тела, SPA-уход за кожей рук и ног; ✔ представительства во всех регионах России и стран ближайшего зарубежья; ✔ 250 технологов-преподавателей; ✔"
71,46917,"ВЫКРОЙКИ, МК, ДЕТЯМ.РУКОДЕЛИЕ. Milamo",https://vk.com/mir.milamo,Товары для детей,,"Добро пожаловать в нашу группу! 💥В ней мы собираем самые лучшие идеи для творчества! 💥Вдохновляем и поддерживаем друг друга. 💥Находим интересные выкройки и МК 💥Делимся фотографиями своих работ, своими выкройками и МК. 💥Не стесняемся спрашивать совета.   Пожалуйста, общайтесь дружелюбно, не размещайт"
72,46916,BIGMENOV МУЖСКАЯ ОДЕЖДА И ОБУВЬ,https://vk.com/bigmenov,"Стиль, мода",Москва,"Мужская дизайнерская одежда и обувь, для настоящих ценителей моды и стиля."
73,46909,Celvins - изделия ручной работы,https://vk.com/celvins,"Одежда, обувь",Москва,Celvins - бренд-производитель изделий из натуральных материалов.   ➜ С 2008 года создали более 20000 моделей женской и мужской обуви и более 10000 изделий верхней одежды   ➜ Предоставляем гарантию 90 дней на нашу обувь и верхнюю одежду  Посмотреть весь каталог и приобрести модели из наличия можно на
74,46885,Цветы Саранск | 13ROSE,https://vk.com/cveti_saransk_13,Цветы,Саранск,"Цветы Саранск 🌹  Бесплатная доставка на сумму заказа от 1800₽ с 8:30 до 20:00 по г. Саранск - Если сумма заказа менее 1800₽, стоимость доставки 150₽ с 8:30 до 20:00 по городу - #13ROSE  САМЫЕ НИЗКИЕ ЦЕНЫ!!!🙀  +7 (960) 330-46-77   Московская 34 | Большевистская 11 | 70 Лет Октября 70 | Ульянова 85 | "
75,46846,Аванпост,https://vk.com/bezpovoda,Активный отдых,Можайск,"КОННЫЕ ПРОГУЛКИ  Круглый год каждые выходные Работаем с начинающими и сильными всадниками Стоимость 3500 рублей Продолжительность 2 часа  16+, с детьми не работаем  Бронирование онлайн. Запись доступна на 10 дней вперед (открывается в четверг в 11:00 на выходные следующей недели) https://n396692.ycl"
76,46812,Магазин кроссовок Funky Dunky,https://vk.com/funkydunkyshop,Спортивная одежда и обувь,Краснодар,Только оригинал. Концептуальные бренды и лимитированные кроссовки. Работаем с 2011 года. • Магазин в Краснодаре • Быстрая доставка  Актуальный ассортимент на сайте: funkydunky.ru/?rs=vk  Оплата и доставка: vk.cc/c93K44  Обмен и возврат: vk.cc/cu7aN7  Программа лояльности: vk.cc/cu7aS8
77,46756,ПОДЕЛКИ САМОДЕЛКИ (своими руками),https://vk.com/podelki_diy,Творчество,Судак,"№ 5253268235 Официальная группа ПОДЕЛКИ САМОДЕЛКИ! Интересные идеи поделок для детей и их родителей 👍  Раскрой свой талант с ПОДЕЛКИ САМОДЕЛКИ!  Делимся интересным и полезным, вдохновляем на креатив! НАШ МАГАЗИН на ВБ https://www.wildberries.ru/brands/2683728-podelki-samodelki  В нашей группе вы мож"
